,CG1_0,CG1_1,CG2_0,CG2_1,CG3_0,CG3_1,CG4_0,CG4_1,CG5_0,CG5_1,CG6_0,CG6_1,CG7_0,CG7_1,CG8_0,CG8_1,CG9_0,CG9_1,CG10_0,CG10_1,CG11_0,CG11_1
CG1_0,1,0,0.200826446280992,0.799173553719008,0.0521235521235521,0.947876447876448,0.202627166014533,0.797372833985467,0.156896551724138,0.843103448275862,0.0797940797940798,0.92020592020592,0.309184993531695,0.690815006468305,0.0776196636481242,0.922380336351876,0.260700389105058,0.739299610894942,0,1,0.0526315789473684,0.947368421052632
CG1_1,0,1,0.00731555512998516,0.992684444870015,0.011931709188567,0.988068290811433,0.110195955573971,0.889804044426029,0.113163728491502,0.886836271508498,0.0117400305077359,0.988259969492264,0.00115529285330468,0.998844707146695,0.00854677955203086,0.991453220447969,0.00466988727858293,0.995330112721417,0.0547112462006079,0.945288753799392,0.202416918429003,0.797583081570997
CG2_0,0,0,1,0,0.0956521739130435,0.904347826086957,0.208049113233288,0.791950886766712,0.154668567355666,0.845331432644334,0.192170818505338,0.807829181494662,0.188612099644128,0.811387900355872,0.195729537366548,0.804270462633452,0.197841726618705,0.802158273381295,0,1,0.166666666666667,0.833333333333333
CG2_1,0,0,0,1,0.012125421151915,0.987874578848085,0.11196934078742,0.88803065921258,0.11410650281618,0.88589349718382,0.0118074477747502,0.98819255222525,0.00606268286896697,0.993937317131033,0.00854858225051291,0.991451417749487,0.00852445171676651,0.991475548283233,0.0524781341107872,0.947521865889213,0.194202898550725,0.805797101449275
CG3_0,0,0,0,0,1,0,0.761632068718683,0.238367931281317,0.63265306122449,0.36734693877551,0.0793933987511151,0.920606601248885,0.0669642857142857,0.933035714285714,0.114387846291332,0.885612153708668,0.0733031674208145,0.926696832579186,0,1,0,1
CG3_1,0,0,0,0,0,1,0.103257565357234,0.896742434642766,0.105084315962977,0.894915684037023,0.0112637436490228,0.988736256350977,0.00567413495956516,0.994325865040435,0.00693140030159528,0.993068599698405,0.00798726283667242,0.992012737163328,0.0514285714285714,0.948571428571429,0.193732193732194,0.806267806267806
CG4_0,0,0,0,0,0,0,1,0,0.626096909576498,0.373903090423503,0.0397155916708989,0.960284408329101,0.024276282376841,0.975723717623159,0.0320975114271204,0.96790248857288,0.0323598249720159,0.967640175027984,0,1,0.111111111111111,0.888888888888889
CG4_1,0,0,0,0,0,0,0,1,0.0319439203506429,0.968056079649357,0.00340136054421769,0.996598639455782,0.00127986348122867,0.998720136518771,0.00202091827690126,0.997979081723099,0.00199345009255304,0.998006549907447,0.0524781341107872,0.947521865889213,0.197058823529412,0.802941176470588
CG5_0,0,0,0,0,0,0,0,0,1,0,0.0405880057239495,0.959411994276051,0.0261548471047495,0.973845152895251,0.0327954190525768,0.967204580947423,0.0344153304653891,0.965584669534611,0.0192307692307692,0.980769230769231,0.238095238095238,0.761904761904762
CG5_1,0,0,0,0,0,0,0,0,0,1,0.00515985078269358,0.994840149217306,0.00229664415726871,0.997703355842731,0.00335077101924984,0.99664922898075,0.00326090687536471,0.996739093124635,0.0501474926253687,0.949852507374631,0.194444444444444,0.805555555555556
CG6_0,0,0,0,0,0,0,0,0,0,0,1,0,0.0523882896764253,0.947611710323575,0.0515781370284834,0.948421862971517,0.0503095975232198,0.94969040247678,0.00396825396825397,0.996031746031746,0.382068965517241,0.617931034482759
CG6_1,0,0,0,0,0,0,0,0,0,0,0,1,0.016330628636997,0.983669371363003,0.0135983477496268,0.986401652250373,0.0255789624828209,0.974421037517179,0.03440771064359,0.96559228935641,0.157791571381901,0.842208428618099
CG7_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0788571428571429,0.921142857142857,0.0870561282932417,0.912943871706758,0.00929368029739777,0.990706319702602,0.0487329434697856,0.951267056530214
CG7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0133474322652727,0.986652567734727,0.0248578976863342,0.975142102313666,0.033380538134736,0.966619461865264,0.180909863945578,0.819090136054422
CG8_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0868965517241379,0.913103448275862,0.0198675496688742,0.980132450331126,0.367491166077739,0.632508833922262
CG8_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025038283316429,0.974961716683571,0.0323787028835745,0.967621297116426,0.167923943370879,0.832076056629121
CG9_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.224732461355529,0.775267538644471
CG9_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0352105318148574,0.964789468185143,0.169355723850291,0.830644276149709
CG10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.54586129753915,0.45413870246085
CG10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0516233164871802,0.94837668351282
CG11_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CG11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
